ranking_type,ranking_type_name,datetime,symbol,exchange_id,instrument_id,broker,volume,volume_change,volume_ranking,long_oi,long_change,long_ranking,short_oi,short_change,short_ranking
VOLUME,成交量排名,20250829,SHFE.rb2601,SHFE,rb2601,Z中信期货,200593.0,33306.0,1.0,230138.0,8268.0,1.0,112384.0,22297.0,2.0
VOLUME,成交量排名,20250829,SHFE.rb2601,SHFE,rb2601,D东证期货,163920.0,35448.0,2.0,41765.0,3584.0,6.0,108378.0,22252.0,3.0
VOLUME,成交量排名,20250829,SHFE.rb2601,SHFE,rb2601,G国泰君安,144957.0,-44265.0,3.0,73507.0,13453.0,2.0,120729.0,12112.0,1.0
VOLUME,成交量排名,20250829,SHFE.rb2601,SHFE,rb2601,Z中泰期货,88771.0,839.0,4.0,32869.0,2339.0,9.0,,,
VOLUME,成交量排名,20250829,SHFE.rb2601,SHFE,rb2601,H华泰期货,83848.0,18614.0,5.0,43616.0,6382.0,5.0,40427.0,4062.0,7.0
VOLUME,成交量排名,20250829,SHFE.rb2601,SHFE,rb2601,Y银河期货,60153.0,29918.0,6.0,51523.0,11230.0,4.0,33612.0,3529.0,10.0
VOLUME,成交量排名,20250829,SHFE.rb2601,SHFE,rb2601,H华闻期货,60114.0,1458.0,7.0,,,,,,
VOLUME,成交量排名,20250829,SHFE.rb2601,SHFE,rb2601,Y永安期货,52618.0,12120.0,8.0,59901.0,4485.0,3.0,100870.0,12249.0,4.0
VOLUME,成交量排名,20250829,SHFE.rb2601,SHFE,rb2601,D东亚期货,44031.0,38142.0,9.0,,,,,,
VOLUME,成交量排名,20250829,SHFE.rb2601,SHFE,rb2601,Z中金财富,41594.0,27663.0,10.0,,,,,,
VOLUME,成交量排名,20250829,SHFE.rb2601,SHFE,rb2601,F方正中期,35553.0,3466.0,11.0,35102.0,8246.0,8.0,23720.0,-1525.0,15.0
VOLUME,成交量排名,20250829,SHFE.rb2601,SHFE,rb2601,N南华期货,33745.0,8201.0,12.0,,,,,,
