ranking_type,ranking_type_name,datetime,symbol,exchange_id,instrument_id,broker,volume,volume_change,volume_ranking,long_oi,long_change,long_ranking,short_oi,short_change,short_ranking
VOLUME,成交量排名,20250815,SHFE.rb2601,SHFE,rb2601,Z中信期货,86124,-1193,1,78178.0,3611.0,1.0,58309.0,675.0,3.0
VOLUME,成交量排名,20250818,SHFE.rb2601,SHFE,rb2601,Z中信期货,119689,33565,1,93465.0,15287.0,1.0,60957.0,2648.0,3.0
VOLUME,成交量排名,20250819,SHFE.rb2601,SHFE,rb2601,Z中信期货,100024,-19665,1,94264.0,799.0,1.0,72090.0,11133.0,3.0
VOLUME,成交量排名,20250820,SHFE.rb2601,SHFE,rb2601,Z中信期货,151746,51722,1,110965.0,16701.0,1.0,63973.0,-8117.0,3.0
VOLUME,成交量排名,20250821,SHFE.rb2601,SHFE,rb2601,Z中信期货,116138,-35608,1,122727.0,11762.0,1.0,69945.0,5972.0,3.0
VOLUME,成交量排名,20250822,SHFE.rb2601,SHFE,rb2601,Z中信期货,103135,-13003,1,143119.0,20392.0,1.0,73704.0,3759.0,3.0
VOLUME,成交量排名,20250825,SHFE.rb2601,SHFE,rb2601,Z中信期货,164335,61200,1,166522.0,23403.0,1.0,84678.0,10974.0,2.0
VOLUME,成交量排名,20250826,SHFE.rb2601,SHFE,rb2601,Z中信期货,127190,-37145,1,194933.0,28411.0,1.0,88195.0,3517.0,2.0
VOLUME,成交量排名,20250827,SHFE.rb2601,SHFE,rb2601,Z中信期货,144402,17212,1,210030.0,15097.0,1.0,93346.0,5151.0,2.0
VOLUME,成交量排名,20250828,SHFE.rb2601,SHFE,rb2601,Z中信期货,167287,22885,2,221870.0,11840.0,1.0,90087.0,-3259.0,2.0
VOLUME,成交量排名,20250829,SHFE.rb2601,SHFE,rb2601,Z中信期货,200593,33306,1,230138.0,8268.0,1.0,112384.0,22297.0,2.0
VOLUME,成交量排名,20250901,SHFE.rb2601,SHFE,rb2601,Z中信期货,288962,88369,2,252642.0,22504.0,1.0,131118.0,18734.0,2.0
VOLUME,成交量排名,20250902,SHFE.rb2601,SHFE,rb2601,Z中信期货,202939,-86023,2,254614.0,1972.0,1.0,136017.0,4899.0,2.0
VOLUME,成交量排名,20250903,SHFE.rb2601,SHFE,rb2601,Z中信期货,224698,21759,2,251230.0,-3384.0,1.0,150325.0,14308.0,2.0
VOLUME,成交量排名,20250904,SHFE.rb2601,SHFE,rb2601,Z中信期货,217259,-7439,2,262838.0,11608.0,1.0,145576.0,-4749.0,2.0
VOLUME,成交量排名,20250905,SHFE.rb2601,SHFE,rb2601,Z中信期货,287274,70015,2,263760.0,922.0,1.0,136810.0,-8766.0,2.0
VOLUME,成交量排名,20250908,SHFE.rb2601,SHFE,rb2601,Z中信期货,272219,-15055,2,267366.0,3606.0,1.0,134363.0,-2447.0,3.0
VOLUME,成交量排名,20250909,SHFE.rb2601,SHFE,rb2601,Z中信期货,273859,1640,2,260348.0,-7018.0,1.0,132892.0,-1471.0,3.0
VOLUME,成交量排名,20250910,SHFE.rb2601,SHFE,rb2601,Z中信期货,303578,29719,2,269772.0,9424.0,1.0,140418.0,7526.0,3.0
VOLUME,成交量排名,20250911,SHFE.rb2601,SHFE,rb2601,Z中信期货,325760,22182,2,253068.0,-16704.0,1.0,168946.0,28528.0,2.0
VOLUME,成交量排名,20250912,SHFE.rb2601,SHFE,rb2601,Z中信期货,412518,86758,2,257987.0,4919.0,1.0,156237.0,-12709.0,2.0
VOLUME,成交量排名,20250915,SHFE.rb2601,SHFE,rb2601,Z中信期货,311536,-100982,2,279288.0,21301.0,1.0,154638.0,-1599.0,2.0
VOLUME,成交量排名,20250916,SHFE.rb2601,SHFE,rb2601,Z中信期货,394973,83437,2,273966.0,-5322.0,1.0,158271.0,3633.0,2.0
VOLUME,成交量排名,20250917,SHFE.rb2601,SHFE,rb2601,Z中信期货,252357,-142616,2,276790.0,2824.0,1.0,144794.0,-13477.0,3.0
VOLUME,成交量排名,20250918,SHFE.rb2601,SHFE,rb2601,Z中信期货,334758,82401,2,285969.0,9179.0,1.0,135001.0,-9793.0,3.0
VOLUME,成交量排名,20250919,SHFE.rb2601,SHFE,rb2601,Z中信期货,261600,-73158,2,307932.0,21963.0,1.0,128948.0,-6053.0,3.0
VOLUME,成交量排名,20250922,SHFE.rb2601,SHFE,rb2601,Z中信期货,356134,94534,2,296410.0,-11522.0,1.0,129390.0,442.0,3.0
VOLUME,成交量排名,20250923,SHFE.rb2601,SHFE,rb2601,Z中信期货,272060,-84074,2,291936.0,-4474.0,1.0,139285.0,9895.0,3.0
VOLUME,成交量排名,20250924,SHFE.rb2601,SHFE,rb2601,Z中信期货,284074,12014,2,303981.0,12045.0,1.0,127722.0,-11563.0,3.0
VOLUME,成交量排名,20250925,SHFE.rb2601,SHFE,rb2601,Z中信期货,200077,-83997,2,305691.0,1710.0,1.0,128892.0,1170.0,3.0
VOLUME,成交量排名,20250926,SHFE.rb2601,SHFE,rb2601,Z中信期货,312556,112479,2,309922.0,4231.0,1.0,161961.0,33069.0,3.0
VOLUME,成交量排名,20250929,SHFE.rb2601,SHFE,rb2601,Z中信期货,289112,-23444,2,306010.0,-3912.0,1.0,149023.0,-12938.0,3.0
VOLUME,成交量排名,20250930,SHFE.rb2601,SHFE,rb2601,Z中信期货,219181,-69931,2,296772.0,-9238.0,1.0,143062.0,-5961.0,3.0
VOLUME,成交量排名,20251009,SHFE.rb2601,SHFE,rb2601,Z中信期货,192548,-26633,2,315550.0,18778.0,1.0,158210.0,15148.0,2.0
VOLUME,成交量排名,20251010,SHFE.rb2601,SHFE,rb2601,Z中信期货,241407,48859,2,316788.0,1238.0,1.0,163089.0,4879.0,2.0
VOLUME,成交量排名,20251013,SHFE.rb2601,SHFE,rb2601,Z中信期货,225189,-16218,2,324012.0,7224.0,1.0,160240.0,-2849.0,2.0
VOLUME,成交量排名,20251014,SHFE.rb2601,SHFE,rb2601,Z中信期货,229623,4434,2,305941.0,-18071.0,1.0,172114.0,11874.0,2.0
VOLUME,成交量排名,20251015,SHFE.rb2601,SHFE,rb2601,Z中信期货,211171,-18452,2,301944.0,-3997.0,1.0,192702.0,20588.0,2.0
VOLUME,成交量排名,20251016,SHFE.rb2601,SHFE,rb2601,Z中信期货,236011,24840,2,306890.0,4946.0,1.0,176295.0,-16407.0,2.0
VOLUME,成交量排名,20251017,SHFE.rb2601,SHFE,rb2601,Z中信期货,164660,-71351,3,288474.0,-18416.0,1.0,166931.0,-9364.0,2.0
VOLUME,成交量排名,20251020,SHFE.rb2601,SHFE,rb2601,Z中信期货,242007,77347,2,292312.0,3838.0,1.0,180104.0,13173.0,2.0
VOLUME,成交量排名,20251021,SHFE.rb2601,SHFE,rb2601,Z中信期货,165714,-76293,3,298543.0,6231.0,1.0,165413.0,-14691.0,2.0
VOLUME,成交量排名,20251022,SHFE.rb2601,SHFE,rb2601,Z中信期货,150514,-15200,2,300892.0,2349.0,1.0,159150.0,-6263.0,2.0
VOLUME,成交量排名,20251023,SHFE.rb2601,SHFE,rb2601,Z中信期货,187480,36966,2,300507.0,-385.0,1.0,152453.0,-6697.0,2.0
VOLUME,成交量排名,20251024,SHFE.rb2601,SHFE,rb2601,Z中信期货,257186,69706,2,268247.0,-32260.0,1.0,177725.0,25272.0,2.0
VOLUME,成交量排名,20251027,SHFE.rb2601,SHFE,rb2601,Z中信期货,371694,114508,2,270988.0,2741.0,1.0,157912.0,-19813.0,2.0
VOLUME,成交量排名,20251028,SHFE.rb2601,SHFE,rb2601,Z中信期货,314380,-57314,2,260308.0,-10680.0,1.0,148178.0,-9734.0,2.0
