ranking_type,ranking_type_name,datetime,symbol,exchange_id,instrument_id,broker,volume,volume_change,volume_ranking,long_oi,long_change,long_ranking,short_oi,short_change,short_ranking
VOLUME,成交量排名,20250814,SHFE.rb2603,SHFE,rb2603,D东证期货,17857.0,5092.0,1.0,15209.0,738.0,3.0,14952.0,733.0,3.0
VOLUME,成交量排名,20250814,SHFE.rb2603,SHFE,rb2603,Z中信期货,6839.0,1836.0,2.0,11271.0,1750.0,5.0,11409.0,1633.0,4.0
VOLUME,成交量排名,20250814,SHFE.rb2603,SHFE,rb2603,D东吴期货,3609.0,958.0,3.0,18641.0,1785.0,1.0,18769.0,1774.0,1.0
VOLUME,成交量排名,20250814,SHFE.rb2603,SHFE,rb2603,H华泰期货,3553.0,-160.0,4.0,6534.0,-247.0,10.0,6714.0,-350.0,9.0
VOLUME,成交量排名,20250814,SHFE.rb2603,SHFE,rb2603,H海通期货,3213.0,362.0,5.0,11275.0,-557.0,4.0,11278.0,-546.0,5.0
VOLUME,成交量排名,20250814,SHFE.rb2603,SHFE,rb2603,Z中信建投,2854.0,-273.0,6.0,15624.0,30.0,2.0,15022.0,8.0,2.0
VOLUME,成交量排名,20250814,SHFE.rb2603,SHFE,rb2603,Y银河期货,1985.0,-292.0,7.0,5629.0,141.0,12.0,5574.0,180.0,12.0
VOLUME,成交量排名,20250814,SHFE.rb2603,SHFE,rb2603,G国泰君安,1831.0,454.0,8.0,7142.0,607.0,9.0,7905.0,602.0,8.0
VOLUME,成交量排名,20250814,SHFE.rb2603,SHFE,rb2603,N南华期货,1672.0,315.0,9.0,6189.0,835.0,11.0,6175.0,831.0,11.0
VOLUME,成交量排名,20250814,SHFE.rb2603,SHFE,rb2603,Z中粮期货,1436.0,272.0,10.0,5294.0,497.0,13.0,5284.0,479.0,13.0
VOLUME,成交量排名,20250814,SHFE.rb2603,SHFE,rb2603,S申万期货,1038.0,606.0,11.0,7932.0,53.0,7.0,6432.0,69.0,10.0
VOLUME,成交量排名,20250814,SHFE.rb2603,SHFE,rb2603,Y永安期货,922.0,-461.0,12.0,8139.0,466.0,6.0,8128.0,454.0,6.0
VOLUME,成交量排名,20250814,SHFE.rb2603,SHFE,rb2603,Z中泰期货,634.0,-123.0,13.0,,,,,,
VOLUME,成交量排名,20250814,SHFE.rb2603,SHFE,rb2603,C创元期货,585.0,21.0,14.0,2457.0,297.0,17.0,2431.0,280.0,18.0
VOLUME,成交量排名,20250814,SHFE.rb2603,SHFE,rb2603,Z中州期货,514.0,-140.0,15.0,,,,3504.0,4.0,16.0
VOLUME,成交量排名,20250814,SHFE.rb2603,SHFE,rb2603,G国投期货,454.0,111.0,16.0,4007.0,-18.0,15.0,4013.0,-36.0,15.0
VOLUME,成交量排名,20250814,SHFE.rb2603,SHFE,rb2603,H华闻期货,424.0,-91.0,17.0,7917.0,8.0,8.0,7945.0,26.0,7.0
VOLUME,成交量排名,20250814,SHFE.rb2603,SHFE,rb2603,D东海期货,353.0,340.0,18.0,,,,694.0,249.0,19.0
VOLUME,成交量排名,20250814,SHFE.rb2603,SHFE,rb2603,G国贸期货,289.0,-19.0,19.0,,,,,,
VOLUME,成交量排名,20250814,SHFE.rb2603,SHFE,rb2603,H海证期货,218.0,143.0,20.0,,,,,,
