ranking_type,ranking_type_name,datetime,symbol,exchange_id,instrument_id,broker,volume,volume_change,volume_ranking,long_oi,long_change,long_ranking,short_oi,short_change,short_ranking
VOLUME,成交量排名,20250911,SHFE.rb2601,SHFE,rb2601,C创元期货,32770.0,10635.0,20.0,,,,,,
VOLUME,成交量排名,20251013,SHFE.rb2601,SHFE,rb2601,C创元期货,26786.0,6377.0,19.0,,,,,,
VOLUME,成交量排名,20251205,SHFE.rb2601,SHFE,rb2601,C创元期货,4609.0,-1003.0,19.0,9298.0,-355.0,16.0,7447.0,-1774.0,20.0
VOLUME,成交量排名,20251212,SHFE.rb2601,SHFE,rb2601,C创元期货,2564.0,476.0,20.0,6727.0,-223.0,9.0,,,
VOLUME,成交量排名,20251216,SHFE.rb2601,SHFE,rb2601,C创元期货,1820.0,-89.0,18.0,5534.0,-630.0,14.0,,,
VOLUME,成交量排名,20251222,SHFE.rb2601,SHFE,rb2601,C创元期货,3522.0,2328.0,8.0,2235.0,-2153.0,19.0,,,
VOLUME,成交量排名,20251224,SHFE.rb2601,SHFE,rb2601,C创元期货,2575.0,1204.0,6.0,,,,,,
VOLUME,成交量排名,20260106,SHFE.rb2601,SHFE,rb2601,C创元期货,450.0,450.0,6.0,,,,,,
VOLUME,成交量排名,20260107,SHFE.rb2601,SHFE,rb2601,C创元期货,480.0,30.0,8.0,,,,210.0,210.0,11.0
LONG,多头持仓排名,20251201,SHFE.rb2601,SHFE,rb2601,C创元期货,,,,12776.0,-320.0,19.0,,,
LONG,多头持仓排名,20251202,SHFE.rb2601,SHFE,rb2601,C创元期货,,,,11057.0,-1719.0,19.0,,,
LONG,多头持仓排名,20251203,SHFE.rb2601,SHFE,rb2601,C创元期货,,,,10747.0,-310.0,15.0,,,
LONG,多头持仓排名,20251204,SHFE.rb2601,SHFE,rb2601,C创元期货,,,,9653.0,-1094.0,16.0,9221.0,738.0,17.0
LONG,多头持仓排名,20251205,SHFE.rb2601,SHFE,rb2601,C创元期货,4609.0,-1003.0,19.0,9298.0,-355.0,16.0,7447.0,-1774.0,20.0
LONG,多头持仓排名,20251208,SHFE.rb2601,SHFE,rb2601,C创元期货,,,,8869.0,-429.0,14.0,,,
LONG,多头持仓排名,20251209,SHFE.rb2601,SHFE,rb2601,C创元期货,,,,8256.0,-613.0,11.0,,,
LONG,多头持仓排名,20251210,SHFE.rb2601,SHFE,rb2601,C创元期货,,,,7740.0,-516.0,12.0,,,
LONG,多头持仓排名,20251211,SHFE.rb2601,SHFE,rb2601,C创元期货,,,,6950.0,-790.0,14.0,4158.0,-124.0,19.0
LONG,多头持仓排名,20251212,SHFE.rb2601,SHFE,rb2601,C创元期货,2564.0,476.0,20.0,6727.0,-223.0,9.0,,,
LONG,多头持仓排名,20251215,SHFE.rb2601,SHFE,rb2601,C创元期货,,,,6164.0,-563.0,12.0,,,
LONG,多头持仓排名,20251216,SHFE.rb2601,SHFE,rb2601,C创元期货,1820.0,-89.0,18.0,5534.0,-630.0,14.0,,,
LONG,多头持仓排名,20251217,SHFE.rb2601,SHFE,rb2601,C创元期货,,,,5441.0,-93.0,13.0,,,
LONG,多头持仓排名,20251218,SHFE.rb2601,SHFE,rb2601,C创元期货,,,,5299.0,-142.0,11.0,,,
LONG,多头持仓排名,20251219,SHFE.rb2601,SHFE,rb2601,C创元期货,,,,4388.0,-911.0,10.0,,,
LONG,多头持仓排名,20251222,SHFE.rb2601,SHFE,rb2601,C创元期货,3522.0,2328.0,8.0,2235.0,-2153.0,19.0,,,
LONG,多头持仓排名,20251223,SHFE.rb2601,SHFE,rb2601,C创元期货,,,,2301.0,66.0,14.0,,,
SHORT,空头持仓排名,20251204,SHFE.rb2601,SHFE,rb2601,C创元期货,,,,9653.0,-1094.0,16.0,9221.0,738.0,17.0
SHORT,空头持仓排名,20251205,SHFE.rb2601,SHFE,rb2601,C创元期货,4609.0,-1003.0,19.0,9298.0,-355.0,16.0,7447.0,-1774.0,20.0
SHORT,空头持仓排名,20251211,SHFE.rb2601,SHFE,rb2601,C创元期货,,,,6950.0,-790.0,14.0,4158.0,-124.0,19.0
SHORT,空头持仓排名,20260107,SHFE.rb2601,SHFE,rb2601,C创元期货,480.0,30.0,8.0,,,,210.0,210.0,11.0
SHORT,空头持仓排名,20260108,SHFE.rb2601,SHFE,rb2601,C创元期货,,,,,,,210.0,0.0,9.0
SHORT,空头持仓排名,20260109,SHFE.rb2601,SHFE,rb2601,C创元期货,,,,,,,210.0,0.0,9.0
SHORT,空头持仓排名,20260112,SHFE.rb2601,SHFE,rb2601,C创元期货,,,,,,,210.0,0.0,9.0
SHORT,空头持仓排名,20260113,SHFE.rb2601,SHFE,rb2601,C创元期货,,,,,,,210.0,0.0,9.0
SHORT,空头持仓排名,20260114,SHFE.rb2601,SHFE,rb2601,C创元期货,,,,,,,210.0,0.0,10.0
SHORT,空头持仓排名,20260115,SHFE.rb2601,SHFE,rb2601,C创元期货,,,,,,,210.0,0.0,10.0
VOLUME,成交量排名,20250904,SHFE.rb2603,SHFE,rb2603,C创元期货,1337.0,365.0,11.0,8569.0,517.0,13.0,8597.0,618.0,12.0
VOLUME,成交量排名,20250905,SHFE.rb2603,SHFE,rb2603,C创元期货,1138.0,-199.0,15.0,9117.0,548.0,12.0,9145.0,548.0,12.0
VOLUME,成交量排名,20250908,SHFE.rb2603,SHFE,rb2603,C创元期货,783.0,-355.0,14.0,9494.0,377.0,12.0,9525.0,380.0,11.0
VOLUME,成交量排名,20250909,SHFE.rb2603,SHFE,rb2603,C创元期货,1439.0,656.0,15.0,10186.0,692.0,9.0,10214.0,689.0,8.0
VOLUME,成交量排名,20250910,SHFE.rb2603,SHFE,rb2603,C创元期货,1127.0,-312.0,15.0,10504.0,318.0,10.0,10563.0,349.0,9.0
VOLUME,成交量排名,20250911,SHFE.rb2603,SHFE,rb2603,C创元期货,1101.0,-26.0,13.0,11004.0,500.0,9.0,11064.0,501.0,9.0
VOLUME,成交量排名,20250912,SHFE.rb2603,SHFE,rb2603,C创元期货,1606.0,505.0,19.0,11003.0,-1.0,9.0,11069.0,5.0,9.0
VOLUME,成交量排名,20250915,SHFE.rb2603,SHFE,rb2603,C创元期货,1161.0,-445.0,15.0,11004.0,1.0,9.0,11075.0,6.0,9.0
VOLUME,成交量排名,20250916,SHFE.rb2603,SHFE,rb2603,C创元期货,849.0,-312.0,13.0,11108.0,104.0,8.0,11160.0,85.0,8.0
VOLUME,成交量排名,20250917,SHFE.rb2603,SHFE,rb2603,C创元期货,1044.0,195.0,12.0,11108.0,0.0,8.0,11174.0,14.0,8.0
