ranking_type,ranking_type_name,datetime,symbol,exchange_id,instrument_id,broker,volume,volume_change,volume_ranking,long_oi,long_change,long_ranking,short_oi,short_change,short_ranking
VOLUME,成交量排名,20250903,SHFE.rb2601,SHFE,rb2601,D东证期货,161834.0,36221.0,3.0,66712.0,4880.0,4.0,126530,6492,3
SHORT,空头持仓排名,20250903,SHFE.rb2601,SHFE,rb2601,D东证期货,161834.0,36221.0,3.0,66712.0,4880.0,4.0,126530,6492,3
VOLUME,成交量排名,20250903,SHFE.rb2603,SHFE,rb2603,D东证期货,15950.0,1081.0,1.0,16442.0,87.0,2.0,16500,-99,2
LONG,多头持仓排名,20250903,SHFE.rb2601,SHFE,rb2601,D东证期货,161834.0,36221.0,3.0,66712.0,4880.0,4.0,126530,6492,3
LONG,多头持仓排名,20250903,SHFE.rb2603,SHFE,rb2603,D东证期货,15950.0,1081.0,1.0,16442.0,87.0,2.0,16500,-99,2
SHORT,空头持仓排名,20250903,SHFE.rb2603,SHFE,rb2603,D东证期货,15950.0,1081.0,1.0,16442.0,87.0,2.0,16500,-99,2
SHORT,空头持仓排名,20250904,SHFE.rb2603,SHFE,rb2603,D东证期货,27802.0,11852.0,1.0,16728.0,286.0,3.0,16760,260,2
LONG,多头持仓排名,20250904,SHFE.rb2601,SHFE,rb2601,D东证期货,179894.0,18060.0,3.0,62892.0,-3820.0,5.0,122206,-4324,3
LONG,多头持仓排名,20250904,SHFE.rb2603,SHFE,rb2603,D东证期货,27802.0,11852.0,1.0,16728.0,286.0,3.0,16760,260,2
VOLUME,成交量排名,20250904,SHFE.rb2601,SHFE,rb2601,D东证期货,179894.0,18060.0,3.0,62892.0,-3820.0,5.0,122206,-4324,3
SHORT,空头持仓排名,20250904,SHFE.rb2601,SHFE,rb2601,D东证期货,179894.0,18060.0,3.0,62892.0,-3820.0,5.0,122206,-4324,3
VOLUME,成交量排名,20250904,SHFE.rb2603,SHFE,rb2603,D东证期货,27802.0,11852.0,1.0,16728.0,286.0,3.0,16760,260,2
LONG,多头持仓排名,20250905,SHFE.rb2603,SHFE,rb2603,D东证期货,26156.0,-1646.0,1.0,16905.0,177.0,3.0,17061,301,2
VOLUME,成交量排名,20250905,SHFE.rb2603,SHFE,rb2603,D东证期货,26156.0,-1646.0,1.0,16905.0,177.0,3.0,17061,301,2
LONG,多头持仓排名,20250905,SHFE.rb2605,SHFE,rb2605,D东证期货,8756.0,230.0,1.0,2602.0,212.0,12.0,17229,926,1
SHORT,空头持仓排名,20250905,SHFE.rb2603,SHFE,rb2603,D东证期货,26156.0,-1646.0,1.0,16905.0,177.0,3.0,17061,301,2
VOLUME,成交量排名,20250905,SHFE.rb2605,SHFE,rb2605,D东证期货,8756.0,230.0,1.0,2602.0,212.0,12.0,17229,926,1
SHORT,空头持仓排名,20250905,SHFE.rb2605,SHFE,rb2605,D东证期货,8756.0,230.0,1.0,2602.0,212.0,12.0,17229,926,1
SHORT,空头持仓排名,20250905,SHFE.rb2601,SHFE,rb2601,D东证期货,206499.0,26605.0,3.0,54608.0,-8284.0,6.0,127143,4937,3
