ranking_type,ranking_type_name,datetime,symbol,exchange_id,instrument_id,broker,volume,volume_change,volume_ranking,long_oi,long_change,long_ranking,short_oi,short_change,short_ranking
VOLUME,成交量排名,20250903,SHFE.rb2601,SHFE,rb2601,G国泰君安,331204.0,100283.0,1.0,94731.0,8460.0,2.0,160426,10202,1
VOLUME,成交量排名,20250904,SHFE.rb2601,SHFE,rb2601,G国泰君安,355986.0,24782.0,1.0,99112.0,4381.0,2.0,169003,8577,1
VOLUME,成交量排名,20250905,SHFE.rb2601,SHFE,rb2601,G国泰君安,384606.0,28620.0,1.0,94083.0,-5029.0,2.0,174128,5125,1
VOLUME,成交量排名,20250908,SHFE.rb2601,SHFE,rb2601,G国泰君安,361276.0,-23330.0,1.0,97316.0,3233.0,2.0,179755,5627,1
VOLUME,成交量排名,20250909,SHFE.rb2601,SHFE,rb2601,G国泰君安,359972.0,-1304.0,1.0,95555.0,-1761.0,2.0,182000,2245,1
VOLUME,成交量排名,20250910,SHFE.rb2601,SHFE,rb2601,G国泰君安,333652.0,-26320.0,1.0,107412.0,11857.0,2.0,178769,-3231,1
VOLUME,成交量排名,20250911,SHFE.rb2601,SHFE,rb2601,G国泰君安,483908.0,150256.0,1.0,113002.0,5590.0,2.0,196055,17286,1
VOLUME,成交量排名,20250912,SHFE.rb2601,SHFE,rb2601,G国泰君安,673510.0,189602.0,1.0,111331.0,-1671.0,2.0,196766,711,1
VOLUME,成交量排名,20250915,SHFE.rb2601,SHFE,rb2601,G国泰君安,525635.0,-147875.0,1.0,113745.0,2414.0,2.0,208713,11947,1
VOLUME,成交量排名,20250916,SHFE.rb2601,SHFE,rb2601,G国泰君安,630210.0,104575.0,1.0,106689.0,-7056.0,2.0,198389,-10324,1
VOLUME,成交量排名,20250917,SHFE.rb2601,SHFE,rb2601,G国泰君安,370095.0,-260115.0,1.0,107193.0,504.0,2.0,204050,5661,1
VOLUME,成交量排名,20250918,SHFE.rb2601,SHFE,rb2601,G国泰君安,495633.0,125538.0,1.0,104660.0,-2533.0,2.0,205330,1280,1
VOLUME,成交量排名,20250919,SHFE.rb2601,SHFE,rb2601,G国泰君安,340313.0,-155320.0,1.0,100520.0,-4140.0,2.0,209451,4121,1
VOLUME,成交量排名,20250922,SHFE.rb2601,SHFE,rb2601,G国泰君安,447767.0,107454.0,1.0,104291.0,3771.0,2.0,215043,5592,1
VOLUME,成交量排名,20250923,SHFE.rb2601,SHFE,rb2601,G国泰君安,392193.0,-55574.0,1.0,95170.0,-9121.0,2.0,223915,8872,1
VOLUME,成交量排名,20250924,SHFE.rb2601,SHFE,rb2601,G国泰君安,317716.0,-74477.0,1.0,98340.0,3170.0,2.0,225071,1156,1
VOLUME,成交量排名,20250925,SHFE.rb2601,SHFE,rb2601,G国泰君安,307547.0,-10169.0,1.0,92387.0,-5953.0,2.0,217880,-7191,1
VOLUME,成交量排名,20250926,SHFE.rb2601,SHFE,rb2601,G国泰君安,424034.0,116487.0,1.0,98895.0,6508.0,2.0,244966,27086,1
VOLUME,成交量排名,20250929,SHFE.rb2601,SHFE,rb2601,G国泰君安,392441.0,-31593.0,1.0,100171.0,1276.0,2.0,221929,-23037,1
VOLUME,成交量排名,20250930,SHFE.rb2601,SHFE,rb2601,G国泰君安,336893.0,-55548.0,1.0,95018.0,-5153.0,2.0,220029,-1900,1
VOLUME,成交量排名,20251009,SHFE.rb2601,SHFE,rb2601,G国泰君安,267116.0,-69777.0,1.0,96730.0,1712.0,2.0,219677,-352,1
VOLUME,成交量排名,20251010,SHFE.rb2601,SHFE,rb2601,G国泰君安,320379.0,53263.0,1.0,93392.0,-3338.0,2.0,212166,-7511,1
VOLUME,成交量排名,20251013,SHFE.rb2601,SHFE,rb2601,G国泰君安,397089.0,76710.0,1.0,95278.0,1886.0,2.0,206467,-5699,1
VOLUME,成交量排名,20251014,SHFE.rb2601,SHFE,rb2601,G国泰君安,368603.0,-28486.0,1.0,99354.0,4076.0,2.0,213994,7527,1
VOLUME,成交量排名,20251015,SHFE.rb2601,SHFE,rb2601,G国泰君安,330914.0,-37689.0,1.0,102928.0,3574.0,2.0,209930,-4064,1
VOLUME,成交量排名,20251016,SHFE.rb2601,SHFE,rb2601,G国泰君安,361518.0,30604.0,1.0,100677.0,-2251.0,2.0,202707,-7223,1
VOLUME,成交量排名,20251017,SHFE.rb2601,SHFE,rb2601,G国泰君安,278620.0,-82898.0,1.0,103333.0,2656.0,2.0,196457,-6250,1
VOLUME,成交量排名,20251020,SHFE.rb2601,SHFE,rb2601,G国泰君安,430028.0,151408.0,1.0,101807.0,-1526.0,2.0,184485,-11972,1
VOLUME,成交量排名,20251021,SHFE.rb2601,SHFE,rb2601,G国泰君安,283869.0,-146159.0,1.0,99619.0,-2188.0,2.0,183212,-1273,1
VOLUME,成交量排名,20251022,SHFE.rb2601,SHFE,rb2601,G国泰君安,235012.0,-48857.0,1.0,99259.0,-360.0,2.0,186078,2866,1
VOLUME,成交量排名,20251023,SHFE.rb2601,SHFE,rb2601,G国泰君安,253801.0,18789.0,1.0,98350.0,-909.0,2.0,179011,-7067,1
VOLUME,成交量排名,20251024,SHFE.rb2601,SHFE,rb2601,G国泰君安,271100.0,17299.0,1.0,107083.0,8733.0,2.0,187566,8555,1
VOLUME,成交量排名,20251027,SHFE.rb2601,SHFE,rb2601,G国泰君安,484656.0,213556.0,1.0,104942.0,-2141.0,2.0,184983,-2583,1
VOLUME,成交量排名,20251028,SHFE.rb2601,SHFE,rb2601,G国泰君安,373090.0,-111566.0,1.0,101879.0,-3063.0,2.0,182222,-2761,1
VOLUME,成交量排名,20251029,SHFE.rb2601,SHFE,rb2601,G国泰君安,302917.0,-70173.0,1.0,102883.0,1004.0,2.0,187839,5617,1
