ranking_type,ranking_type_name,datetime,symbol,exchange_id,instrument_id,broker,volume,volume_change,volume_ranking,long_oi,long_change,long_ranking,short_oi,short_change,short_ranking
VOLUME,成交量排名,20251016,SHFE.rb2601,SHFE,rb2601,S申万期货,25203.0,8382.0,17.0,41228.0,173.0,10.0,,,
VOLUME,成交量排名,20251017,SHFE.rb2601,SHFE,rb2601,S申万期货,39599.0,14396.0,7.0,41438.0,210.0,10.0,,,
VOLUME,成交量排名,20251020,SHFE.rb2601,SHFE,rb2601,S申万期货,41487.0,1888.0,10.0,44182.0,2744.0,10.0,,,
VOLUME,成交量排名,20251021,SHFE.rb2601,SHFE,rb2601,S申万期货,38394.0,-3093.0,7.0,41517.0,-2665.0,10.0,,,
VOLUME,成交量排名,20251022,SHFE.rb2601,SHFE,rb2601,S申万期货,17339.0,-21055.0,20.0,39992.0,-1525.0,10.0,,,
VOLUME,成交量排名,20251030,SHFE.rb2601,SHFE,rb2601,S申万期货,40421.0,20717.0,15.0,27837.0,-10761.0,12.0,27701.0,1168.0,16.0
VOLUME,成交量排名,20251105,SHFE.rb2601,SHFE,rb2601,S申万期货,30385.0,17420.0,15.0,29292.0,98.0,18.0,,,
VOLUME,成交量排名,20251113,SHFE.rb2601,SHFE,rb2601,S申万期货,20902.0,11958.0,20.0,28223.0,34.0,14.0,,,
VOLUME,成交量排名,20251119,SHFE.rb2601,SHFE,rb2601,S申万期货,22840.0,10788.0,17.0,30629.0,566.0,12.0,,,
VOLUME,成交量排名,20251121,SHFE.rb2601,SHFE,rb2601,S申万期货,19663.0,3790.0,18.0,26928.0,-3468.0,13.0,,,
VOLUME,成交量排名,20251126,SHFE.rb2601,SHFE,rb2601,S申万期货,17936.0,5976.0,19.0,20268.0,-1335.0,12.0,16975.0,-2453.0,19.0
VOLUME,成交量排名,20251203,SHFE.rb2601,SHFE,rb2601,S申万期货,8826.0,934.0,18.0,9136.0,22.0,19.0,9022.0,-896.0,17.0
VOLUME,成交量排名,20251204,SHFE.rb2601,SHFE,rb2601,S申万期货,8379.0,-447.0,15.0,8082.0,-1054.0,19.0,11213.0,2191.0,12.0
