ranking_type,ranking_type_name,datetime,symbol,exchange_id,instrument_id,broker,volume,volume_change,volume_ranking,long_oi,long_change,long_ranking,short_oi,short_change,short_ranking
VOLUME,成交量排名,20250829,SHFE.rb2601,SHFE,rb2601,Z中信期货,200593,33306,1,230138.0,8268.0,1.0,112384.0,22297.0,2.0
SHORT,空头持仓排名,20250829,SHFE.rb2601,SHFE,rb2601,Z中信期货,200593,33306,1,230138.0,8268.0,1.0,112384.0,22297.0,2.0
LONG,多头持仓排名,20250829,SHFE.rb2603,SHFE,rb2603,Z中信期货,6100,142,1,16004.0,637.0,3.0,15627.0,621.0,3.0
SHORT,空头持仓排名,20250829,SHFE.rb2603,SHFE,rb2603,Z中信期货,6100,142,1,16004.0,637.0,3.0,15627.0,621.0,3.0
LONG,多头持仓排名,20250829,SHFE.rb2601,SHFE,rb2601,Z中信期货,200593,33306,1,230138.0,8268.0,1.0,112384.0,22297.0,2.0
VOLUME,成交量排名,20250829,SHFE.rb2603,SHFE,rb2603,Z中信期货,6100,142,1,16004.0,637.0,3.0,15627.0,621.0,3.0
SHORT,空头持仓排名,20250901,SHFE.rb2601,SHFE,rb2601,Z中信期货,288962,88369,2,252642.0,22504.0,1.0,131118.0,18734.0,2.0
LONG,多头持仓排名,20250901,SHFE.rb2601,SHFE,rb2601,Z中信期货,288962,88369,2,252642.0,22504.0,1.0,131118.0,18734.0,2.0
VOLUME,成交量排名,20250901,SHFE.rb2601,SHFE,rb2601,Z中信期货,288962,88369,2,252642.0,22504.0,1.0,131118.0,18734.0,2.0
VOLUME,成交量排名,20250901,SHFE.rb2603,SHFE,rb2603,Z中信期货,9906,3806,2,16086.0,82.0,3.0,15603.0,-24.0,3.0
SHORT,空头持仓排名,20250901,SHFE.rb2603,SHFE,rb2603,Z中信期货,9906,3806,2,16086.0,82.0,3.0,15603.0,-24.0,3.0
LONG,多头持仓排名,20250901,SHFE.rb2603,SHFE,rb2603,Z中信期货,9906,3806,2,16086.0,82.0,3.0,15603.0,-24.0,3.0
LONG,多头持仓排名,20250902,SHFE.rb2603,SHFE,rb2603,Z中信期货,10559,653,2,16070.0,-16.0,3.0,15620.0,17.0,3.0
SHORT,空头持仓排名,20250902,SHFE.rb2601,SHFE,rb2601,Z中信期货,202939,-86023,2,254614.0,1972.0,1.0,136017.0,4899.0,2.0
VOLUME,成交量排名,20250902,SHFE.rb2603,SHFE,rb2603,Z中信期货,10559,653,2,16070.0,-16.0,3.0,15620.0,17.0,3.0
VOLUME,成交量排名,20250902,SHFE.rb2601,SHFE,rb2601,Z中信期货,202939,-86023,2,254614.0,1972.0,1.0,136017.0,4899.0,2.0
LONG,多头持仓排名,20250902,SHFE.rb2601,SHFE,rb2601,Z中信期货,202939,-86023,2,254614.0,1972.0,1.0,136017.0,4899.0,2.0
SHORT,空头持仓排名,20250902,SHFE.rb2603,SHFE,rb2603,Z中信期货,10559,653,2,16070.0,-16.0,3.0,15620.0,17.0,3.0
SHORT,空头持仓排名,20250903,SHFE.rb2601,SHFE,rb2601,Z中信期货,224698,21759,2,251230.0,-3384.0,1.0,150325.0,14308.0,2.0
LONG,多头持仓排名,20250903,SHFE.rb2603,SHFE,rb2603,Z中信期货,14708,4149,2,15849.0,-221.0,4.0,16429.0,809.0,3.0
VOLUME,成交量排名,20250903,SHFE.rb2601,SHFE,rb2601,Z中信期货,224698,21759,2,251230.0,-3384.0,1.0,150325.0,14308.0,2.0
VOLUME,成交量排名,20250903,SHFE.rb2603,SHFE,rb2603,Z中信期货,14708,4149,2,15849.0,-221.0,4.0,16429.0,809.0,3.0
SHORT,空头持仓排名,20250903,SHFE.rb2603,SHFE,rb2603,Z中信期货,14708,4149,2,15849.0,-221.0,4.0,16429.0,809.0,3.0
LONG,多头持仓排名,20250903,SHFE.rb2601,SHFE,rb2601,Z中信期货,224698,21759,2,251230.0,-3384.0,1.0,150325.0,14308.0,2.0
VOLUME,成交量排名,20250904,SHFE.rb2601,SHFE,rb2601,Z中信期货,217259,-7439,2,262838.0,11608.0,1.0,145576.0,-4749.0,2.0
SHORT,空头持仓排名,20250904,SHFE.rb2601,SHFE,rb2601,Z中信期货,217259,-7439,2,262838.0,11608.0,1.0,145576.0,-4749.0,2.0
