ranking_type,ranking_type_name,datetime,symbol,exchange_id,instrument_id,broker,volume,volume_change,volume_ranking,long_oi,long_change,long_ranking,short_oi,short_change,short_ranking
VOLUME,成交量排名,20250904,SHFE.rb2601,SHFE,rb2601,Z中辉期货,31514.0,12916.0,17.0,34692.0,-297.0,8.0,,,
VOLUME,成交量排名,20250908,SHFE.rb2601,SHFE,rb2601,Z中辉期货,34728.0,5420.0,18.0,39930.0,8078.0,8.0,,,
VOLUME,成交量排名,20250909,SHFE.rb2601,SHFE,rb2601,Z中辉期货,45706.0,10978.0,11.0,33824.0,-6106.0,9.0,,,
VOLUME,成交量排名,20250915,SHFE.rb2601,SHFE,rb2601,Z中辉期货,32813.0,-10718.0,19.0,39801.0,4150.0,9.0,,,
VOLUME,成交量排名,20250916,SHFE.rb2601,SHFE,rb2601,Z中辉期货,48197.0,15384.0,19.0,42621.0,2820.0,9.0,,,
VOLUME,成交量排名,20250918,SHFE.rb2601,SHFE,rb2601,Z中辉期货,57268.0,35084.0,14.0,50539.0,6484.0,8.0,,,
VOLUME,成交量排名,20250922,SHFE.rb2601,SHFE,rb2601,Z中辉期货,42491.0,15702.0,19.0,36947.0,-7628.0,9.0,,,
VOLUME,成交量排名,20250923,SHFE.rb2601,SHFE,rb2601,Z中辉期货,31392.0,-11099.0,18.0,48321.0,11374.0,8.0,,,
VOLUME,成交量排名,20250924,SHFE.rb2601,SHFE,rb2601,Z中辉期货,29754.0,-1638.0,18.0,47747.0,-574.0,8.0,,,
VOLUME,成交量排名,20250925,SHFE.rb2601,SHFE,rb2601,Z中辉期货,29435.0,-319.0,10.0,41390.0,-6357.0,8.0,,,
VOLUME,成交量排名,20250926,SHFE.rb2601,SHFE,rb2601,Z中辉期货,47197.0,17762.0,10.0,41784.0,394.0,9.0,,,
VOLUME,成交量排名,20250929,SHFE.rb2601,SHFE,rb2601,Z中辉期货,23692.0,-23505.0,17.0,38339.0,-3445.0,9.0,,,
VOLUME,成交量排名,20251009,SHFE.rb2601,SHFE,rb2601,Z中辉期货,22923.0,8350.0,15.0,42039.0,2722.0,9.0,,,
